metric_designator,trade_size,over_2_wires_40_percent_mm2,over_2_wires_40_percent_in2,over_2_wires_60_percent_mm2,over_2_wires_60_percent_in2,one_wire_53_percent_mm2,one_wire_53_percent_in2,two_wires_31_percent_mm2,two_wires_31_percent_in2,nominal_internal_diameter_mm,nominal_internal_diameter_in,total_area_100_percent_mm2,total_area_100_percent_in2
16,1/2,78,0.122,118,0.182,104,0.161,61,0.094,15.8,0.622,196,0.304
21,3/4,137,0.213,206,0.320,182,0.283,106,0.165,20.9,0.824,343,0.533
27,1,222,0.346,333,0.519,295,0.458,172,0.268,26.6,1.049,556,0.864
35,1 1/4,387,0.598,581,0.897,513,0.793,300,0.464,35.1,1.380,968,1.496
41,1 1/2,526,0.814,788,1.221,696,1.079,407,0.631,40.9,1.610,1314,2.036
53,2,856,1.342,1290,2.013,1117,1.778,671,1.040,52.5,2.067,2165,3.356
63,2 1/2,1513,2.343,2270,3.515,2005,3.105,1173,1.816,69.4,2.731,3783,5.858
78,3,2280,3.538,3421,5.307,3022,4.688,1767,2.742,85.2,3.356,5701,8.846
91,3 1/2,2980,4.618,4471,6.927,3949,6.119,2310,3.579,97.4,3.834,7451,11.545
103,4,3808,5.901,5712,8.852,5046,7.819,2951,4.573,110.1,4.334,9521,14.753
