size,area_mm2,area_in2,dia_mm,dia_in
18,3.548,0.0055,2.134,0.084
16,4.645,0.0072,2.438,0.096
14,6.258,0.0097,2.819,0.111
12,8.581,0.0133,3.302,0.130
10,13.61,0.0211,4.166,0.164
8,23.61,0.0366,5.486,0.216
6,32.71,0.0507,6.452,0.254
4,53.16,0.0824,8.230,0.324
3,62.77,0.0973,8.941,0.352
2,74.71,0.1158,9.754,0.384
1,100.8,0.1562,11.33,0.446
1/0,119.7,0.1855,12.34,0.486
2/0,143.4,0.2223,13.51,0.532
3/0,172.8,0.2679,14.83,0.584
4/0,208.8,0.3237,16.31,0.642
250,256.1,0.3970,18.06,0.711
300,297.3,0.4608,19.46,0.766
350,338.2,0.5242,20.75,0.817
400,378.3,0.5863,21.95,0.864
500,456.3,0.7073,24.10,0.949
600,559.7,0.8676,26.70,1.051
700,637.9,0.9887,28.50,1.122
750,677.2,1.0496,29.36,1.156
800,715.2,1.1085,30.18,1.188
900,794.3,1.2311,31.80,1.252
1000,869.5,1.3478,33.27,1.310
